circuit_name,spider_id,cluster_label
toy_larger_clifford_heavy,0,1
toy_larger_clifford_heavy,1,1
toy_larger_clifford_heavy,2,1
toy_larger_clifford_heavy,3,1
toy_larger_clifford_heavy,4,1
toy_larger_clifford_heavy,5,1
toy_larger_clifford_heavy,6,-1
toy_larger_clifford_heavy,7,-1
toy_larger_clifford_heavy,8,1
toy_larger_clifford_heavy,9,1
toy_larger_clifford_heavy,10,1
toy_larger_clifford_heavy,11,1
toy_larger_clifford_heavy,12,1
toy_larger_clifford_heavy,13,1
toy_larger_clifford_heavy,14,-1
toy_larger_clifford_heavy,15,-1
toy_larger_clifford_heavy,16,0
toy_larger_clifford_heavy,17,1
toy_larger_clifford_heavy,18,-1
toy_larger_clifford_heavy,19,-1
toy_larger_clifford_heavy,20,0
toy_larger_clifford_heavy,21,-1
toy_larger_clifford_heavy,22,1
toy_larger_clifford_heavy,23,1
toy_larger_clifford_heavy,24,-1
toy_larger_clifford_heavy,25,-1
toy_larger_clifford_heavy,26,-1
toy_larger_clifford_heavy,27,1
toy_larger_clifford_heavy,28,1
toy_larger_clifford_heavy,29,-1
toy_larger_clifford_heavy,30,-1
toy_larger_clifford_heavy,31,1
toy_larger_clifford_heavy,32,-1
toy_larger_clifford_heavy,33,-1
toy_larger_clifford_heavy,34,0
toy_larger_clifford_heavy,35,-1
toy_larger_clifford_heavy,36,-1
toy_larger_clifford_heavy,37,1
toy_larger_clifford_heavy,38,-1
toy_larger_clifford_heavy,39,1
toy_larger_clifford_heavy,40,1
toy_larger_clifford_heavy,41,-1
toy_larger_clifford_heavy,42,-1
toy_larger_clifford_heavy,43,-1
toy_larger_clifford_heavy,44,1
toy_larger_clifford_heavy,45,0
toy_larger_clifford_heavy,46,-1
toy_larger_clifford_heavy,47,-1
toy_larger_clifford_heavy,48,-1
toy_larger_clifford_heavy,49,1
toy_larger_clifford_heavy,50,1
toy_larger_clifford_heavy,51,-1
toy_larger_clifford_heavy,52,1
toy_larger_clifford_heavy,53,1
toy_larger_clifford_heavy,54,-1
toy_larger_clifford_heavy,55,1
toy_larger_clifford_heavy,56,-1
toy_larger_clifford_heavy,57,-1
toy_larger_clifford_heavy,58,-1
toy_larger_clifford_heavy,59,-1
toy_larger_clifford_heavy,60,-1
toy_larger_clifford_heavy,61,1
toy_larger_clifford_heavy,62,1
toy_larger_clifford_heavy,63,-1
toy_larger_clifford_heavy,64,-1
toy_larger_clifford_heavy,65,-1
toy_larger_clifford_heavy,66,-1
toy_larger_clifford_heavy,67,-1
toy_larger_clifford_heavy,68,1
toy_larger_clifford_heavy,69,-1
toy_larger_clifford_heavy,70,1
toy_larger_clifford_heavy,71,-1
toy_larger_clifford_heavy,72,-1
toy_larger_clifford_heavy,73,-1
toy_larger_clifford_heavy,74,-1
toy_larger_clifford_heavy,75,1
toy_larger_clifford_heavy,76,1
toy_larger_clifford_heavy,77,-1
toy_larger_clifford_heavy,78,-1
toy_larger_clifford_heavy,79,1
toy_larger_clifford_heavy,80,-1
toy_larger_clifford_heavy,81,1
toy_larger_clifford_heavy,82,-1
toy_larger_clifford_heavy,83,-1
toy_larger_clifford_heavy,84,1
toy_larger_clifford_heavy,85,1
toy_larger_clifford_heavy,86,1
toy_larger_clifford_heavy,87,1
toy_larger_clifford_heavy,88,1
toy_larger_clifford_heavy,89,1
toy_larger_clifford_heavy,90,1
toy_medium_diverse,0,0
toy_medium_diverse,1,0
toy_medium_diverse,2,0
toy_medium_diverse,3,0
toy_medium_diverse,4,0
toy_medium_diverse,5,0
toy_medium_diverse,6,0
toy_medium_diverse,7,0
toy_medium_diverse,8,0
toy_medium_diverse,9,-1
toy_medium_diverse,10,-1
toy_medium_diverse,11,0
toy_medium_diverse,12,0
toy_medium_diverse,13,0
toy_medium_diverse,14,0
toy_medium_diverse,15,0
toy_medium_diverse,16,0
toy_medium_diverse,17,-1
toy_medium_diverse,18,-1
toy_medium_diverse,19,-1
toy_medium_diverse,20,-1
toy_medium_diverse,21,0
toy_medium_diverse,22,0
toy_medium_diverse,23,-1
toy_medium_diverse,24,-1
toy_medium_diverse,25,0
toy_medium_diverse,26,0
toy_medium_diverse,27,0
toy_medium_diverse,28,-1
toy_medium_diverse,29,-1
toy_medium_diverse,30,1
toy_medium_diverse,31,0
toy_medium_diverse,32,0
toy_medium_diverse,33,-1
toy_medium_diverse,34,-1
toy_medium_diverse,35,0
toy_medium_diverse,36,-1
toy_medium_diverse,37,-1
toy_medium_diverse,38,0
toy_medium_diverse,39,-1
toy_medium_diverse,40,-1
toy_medium_diverse,41,0
toy_medium_diverse,42,0
toy_medium_diverse,43,0
